Bảng kê tài khoản - Shopee Vietnam,,,Tóm tắt,,,,,Số Dư Cuối Kì,
Tiền Tệ:,VND,,Tiền Chuyển Vào,,Tiền Chuyển Ra,,,Bắt đầu:,16079097
Ngày:,2020-09-29-2020-09-30,,Số lần Giao dịch:,14,Số lần Giao dịch:,1,,Kêt thúc:,14527341
,,,Tổng Cộng:,,Tổng Cộng:,,,,
,,,,,,,,,
,,,,,,,,,
Ngày,Chuyển đến,Thanh Toán,Mô tả,Trạng thái,Số dư,,,,
,,,rút tiền,,,,,,
9/30/2020 11:53,Ví Shopee,469500,Doanh Thu từ Đơn Hàng #201003BV9XP4FG,,14527341,,,,
9/30/2020 11:44,Ví Shopee,5940,Doanh Thu từ Đơn Hàng #201003CMCWH7VD,,14473169,,,,
9/30/2020 7:21,Ví Shopee,80000,Doanh Thu từ Đơn Hàng #201003CNXP4V2T,,13902473,,,,
,,,rút tiền,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
